Date,ZHVI_National_Median,YoY_%
2016-07-31,191500.0,7.67500702839472
2016-08-31,192450.0,7.513966480446932
2016-09-30,193250.0,7.271718012767137
2016-10-31,194150.0,7.028665931642775
2016-11-30,194600.0,6.68859649122806
2016-12-31,195150.0,6.23298856831791
2017-01-31,195850.0,5.807671528903291
2017-02-28,196400.0,5.421363392377887
2017-03-31,196750.0,5.073431241655535
2017-04-30,197300.0,4.891015417331213
2017-05-31,197800.0,4.766949152542366
2017-06-30,198000.0,4.183109707971577
2017-07-31,198150.0,3.4725848563968764
2017-08-31,198600.0,3.1956352299298496
2017-09-30,199950.0,3.467011642949558
2017-10-31,201100.0,3.579706412567596
2017-11-30,200900.0,3.237410071942448
2017-12-31,200650.0,2.818344862925959
