RegionName,YoY_Price_%,LatestPrice,YoY_Inventory_%,LatestInventory,YoY_Days_%,LatestDays,YoY_Inventory_%_z,YoY_Days_%_z,DemandIndex,GeoLevel
Nevada,12.652705061082026,258200.0,-24.95877502944641,12742.0,-26.74418604651163,,-1.45050519302214,-1.5205113440989544,1.4855082685605472,state
NewHampshire,6.571187868576245,253000.0,-20.012755102040813,6271.0,-21.311475409836067,,-1.037485832288987,-0.6795506836629969,0.858518257975992,state
NewJersey,4.005340453938588,311600.0,-13.840465882533238,44977.0,-14.847942754919497,,-0.5220663667151078,0.32097687131721964,0.10054474769894406,state
NewMexico,5.623901581722324,180300.0,-5.766337957546385,11276.0,-9.88505747126437,,0.15216689619149762,1.0892105515053578,-0.6206887238484278,state
NewYork,10.878962536023051,307800.0,-14.942926802238599,61401.0,-12.666666666666671,,-0.6141278041887002,0.6586291967303696,-0.022250696270834702,state
NorthCarolina,6.206014075495836,166000.0,-11.734056987788332,48789.0,-23.943661971830988,,-0.3461698543841285,-1.0870020459023904,0.7165859501432594,state
NorthDakota,-1.6144814090019555,201100.0,30.981709593131757,3509.0,1.538461538461533,,3.2208272191057103,2.8575230447325795,-3.039175131919145,state
Ohio,4.669887278582929,130000.0,-13.848518725545,36990.0,-21.42857142857143,,-0.5227388225728721,-0.6976766527851755,0.6102077376790238,state
Oklahoma,2.2767075306479923,116800.0,2.6050948736764834,19575.0,-7.177033492822971,,0.8512267235112472,1.5084012254964283,-1.1798139745038378,state
Oregon,7.5210792580101105,318800.0,-6.304079110012362,14402.0,-18.25613079019074,,0.10726260743180673,-0.20659624139056762,0.04966681697938045,state
Pennsylvania,4.150702426564501,163100.0,-11.209085778781036,50348.0,-20.89887640449438,,-0.3023319248306912,-0.615682100329118,0.4590070125799046,state
RhodeIsland,7.814407814407809,264900.0,-12.220790378006875,4087.0,-22.494432071269486,,-0.3868147196750356,-0.8626673784028669,0.6247410490389512,state
SouthCarolina,4.964539007092195,148000.0,-8.761137711259792,28774.0,-15.04424778761062,,-0.09791504807016412,0.29058968138953195,-0.09633731665968392,state
SouthDakota,6.818181818181812,178600.0,2.9458853666346485,3215.0,,,0.8796845691348795,,,state
Tennessee,7.799852832965426,146500.0,-7.679999999999998,28850.0,-20.418848167539274,,-0.0076342135966060935,-0.5413757567420975,0.2745049851693518,state
Texas,7.393715341959339,174300.0,3.5264031110970206,97966.0,-5.0445103857566735,,0.9281609342185657,1.8385067953397045,-1.3833338647791351,state
UnitedStates,,,,,-12.997347480106104,82.0,,0.6074412035053713,,state
Utah,8.977556109725683,262200.0,-10.451727192205496,8088.0,-21.712538226299692,,-0.23908839490879033,-0.7416335136839136,0.49036095429635196,state
Vermont,4.128014842300565,224500.0,-16.56012176560122,5482.0,-31.56424581005587,,-0.7491723126525518,-2.26663623702559,1.507904274839071,state
Virginia,2.6260942059191272,246200.0,-4.262366423287078,39599.0,-18.170878459687124,,0.27775663718683336,-0.19339954070858623,-0.042178548239123564,state
Washington,10.298273155416005,351300.0,-16.41944211213733,17918.0,-26.28398791540786,,-0.737424802251336,-1.4492746171413704,1.0933497096963531,state
WestVirginia,2.071005917159763,103500.0,-1.0001010203050775,9800.0,-25.046382189239335,,0.5501734068435351,-1.2576984780015747,0.3537625355790198,state
Wisconsin,5.6803995006242225,169300.0,-14.817128400537216,27273.0,-23.943661971830988,,-0.6036229586331726,-1.0870020459023904,0.8453125022677814,state
Wyoming,3.302373581011353,200200.0,-0.5959202383680973,4337.0,-14.893617021276595,,0.5839246837543424,0.31390668779938413,-0.44891568577686325,state
